"ym_date","by_state","by_maoist","total"
1996-02-01,9,1,10
1996-03-01,15,6,21
1996-04-01,4,1,5
1996-05-01,4,4,8
1996-06-01,5,6,11
1996-07-01,3,1,4
1996-08-01,8,2,10
1996-09-01,1,0,1
1996-10-01,7,3,11
1996-11-01,7,6,13
1996-12-01,4,1,5
1997-01-01,10,5,15
1997-02-01,2,5,7
1997-04-01,1,2,3
1997-05-01,1,6,9
1997-06-01,4,2,7
1997-07-01,3,3,8
1997-08-01,7,1,8
1997-09-01,4,3,7
1997-10-01,8,3,11
1997-11-01,7,2,9
1997-12-01,6,4,11
1998-01-01,6,3,9
1998-02-01,7,0,7
1998-03-01,6,3,10
1998-04-01,5,5,10
1998-05-01,16,6,26
1998-06-01,61,3,64
1998-07-01,26,5,31
1998-08-01,24,12,37
1998-09-01,19,3,23
1998-10-01,45,10,55
1998-11-01,66,10,77
1998-12-01,47,14,61
1999-01-01,26,21,48
1999-02-01,25,11,36
1999-03-01,44,26,72
1999-04-01,18,17,36
1999-05-01,23,19,47
1999-06-01,27,10,40
1999-07-01,13,12,25
1999-08-01,19,8,27
1999-09-01,30,17,47
1999-10-01,21,6,28
1999-11-01,29,9,38
1999-12-01,35,6,41
2000-01-01,35,35,74
2000-02-01,37,41,78
2000-03-01,12,12,24
2000-04-01,16,23,40
2000-05-01,13,10,24
2000-06-01,7,30,38
2000-07-01,14,14,28
2000-08-01,16,13,29
2000-09-01,9,27,39
2000-10-01,10,13,24
2000-11-01,19,19,39
2000-12-01,12,6,18
2001-01-01,9,16,28
2001-02-01,13,24,37
2001-03-01,6,6,13
2001-04-01,27,82,110
2001-05-01,30,23,59
2001-06-01,21,21,44
2001-07-01,28,80,110
2001-08-01,23,7,31
2001-09-01,18,6,29
2001-10-01,16,6,31
2001-11-01,72,108,183
2001-12-01,148,62,212
2002-01-01,146,60,209
2002-02-01,227,243,472
2002-03-01,275,69,348
2002-04-01,201,114,322
2002-05-01,317,114,434
2002-06-01,186,60,253
2002-07-01,97,29,128
2002-08-01,178,30,210
2002-09-01,245,214,466
2002-10-01,209,60,272
2002-11-01,217,138,355
2002-12-01,136,57,198
2003-01-01,105,66,181
2003-02-01,30,11,42
2003-03-01,35,3,38
2003-04-01,54,21,81
2003-05-01,27,10,44
2003-06-01,36,25,63
2003-07-01,22,16,38
2003-08-01,96,62,159
2003-09-01,170,183,359
2003-10-01,274,128,417
2003-11-01,166,102,271
2003-12-01,173,75,250
2004-01-01,119,60,183
2004-02-01,180,62,250
2004-03-01,205,164,373
2004-04-01,148,70,228
2004-05-01,122,124,260
2004-06-01,92,102,207
2004-07-01,75,95,175
2004-08-01,108,84,196
2004-09-01,125,74,204
2004-10-01,104,42,153
2004-11-01,127,79,212
2004-12-01,125,114,252
2005-01-01,113,114,232
2005-02-01,171,79,288
2005-03-01,82,60,152
2005-04-01,160,75,243
2005-05-01,113,78,197
2005-06-01,102,112,228
2005-07-01,46,44,97
2005-08-01,82,87,176
2005-09-01,32,10,43
2005-10-01,29,15,46
2005-11-01,20,17,40
2005-12-01,34,11,47
2006-01-01,131,63,201
2006-02-01,75,65,150
2006-03-01,73,55,135
2006-04-01,59,49,122
2006-05-01,2,8,13
2006-06-01,2,8,14
2006-07-01,3,6,14
2006-08-01,2,4,11
2006-09-01,2,8,13
2006-10-01,3,5,9
2006-11-01,0,3,3
NA,0,0,16
